Date,Tweet id,Uncleaned Data,Cleaned Data,Class
12/03/2020 10:43,1.23805E+18,#excited for tonight,"#excited for tonight
",excited
12/03/2020 10:30,1.23805E+18,Look out for the New Conference Pack orders taken from the 30th March for more details on prices contact the Conference team on 01928513365 #excited #conference,"look out for the new conference pack orders taken from the 30th march for more details on prices contact the conference team on 01928513365 #excited #conference
",excited
12/03/2020 10:01,1.23804E+18,Selfcation coming up ☺️ #excited,"selection coming up ☺️ #excited
",excited
12/03/2020 06:09,1.23798E+18,Lots of updates today... on YouTube and Twitch. Getting new Mic soon #Excited,"lots of updates today.. on couture and twitch. getting new mic soon #excited
",excited
12/03/2020 04:18,1.23796E+18,Just bought tickets to nexts weeks #nba raptors game #excited,"just bought tickets to nexts weeks #na raptors game #excited
",excited
12/03/2020 03:29,1.23794E+18,My phone is working again #excited,"my phone is working again #excited
",excited
12/03/2020 03:24,1.23794E+18,I’m gonna master rocket league over this extended break #excited,"i’m gonna master rocket league over this extended break #excited
",excited
12/03/2020 03:10,1.23794E+18,"I am excited. 

#Excited #SoonCome","i am excited. 

#excited #oncome
",excited
12/03/2020 02:56,1.23794E+18,"Everything is ready and I hope you all are ready to see the new video on Friday @ 5:00 pm Central time.
#excited #youtubegaming","everything is ready and i hope you all are ready to see the new video on friday @ 5:00 pm central time.
#excited #youtubegaming
",excited
12/03/2020 02:01,1.23792E+18,i get to see two bad bitches tomorrow #excited,"i get to see two bad bitches tomorrow #excited
",excited
12/03/2020 00:25,1.2379E+18,A thought out plan is needed. First step is putting the plan on paper. Spent the last 3 hours doing so. #Excited,"a thought out plan is needed. first step is putting the plan on paper. spent the last 3 hours doing so. #excited
",excited
11/03/2020 23:33,1.23788E+18,Work finished...now packing for #CheltenhamFestival #Excited,"work finished..now packing for #cheltenhamfestival #excited
",excited
11/03/2020 22:49,1.23787E+18,"I really am about to bring 
this web series to life... 
I finally got something 
I can over indulge 
myself in 😇

#excited","i really am about to bring 
this web series to life.. 
i finally got something 
i can over indulge 
myself in 😇

#excited
",excited
11/03/2020 21:14,1.23785E+18,Got accepted to 4 summer programs. I've decided to accept an offer conducting research for Harvard at MGH! #Excited,"got accepted to 4 summer programs. i've decided to accept an offer conducting research for harvard at mgt! #excited
",excited
11/03/2020 21:09,1.23785E+18,officially moving out! Let this new exciting chapter begin! #excited,"officially moving out! let this new exciting chapter begin! #excited
",excited
11/03/2020 20:18,1.23784E+18,Nrl is back..... thank you.... I am even excited to watch Parramatta v Bulldogs - that’s my point lol #excited #WTigers,"nl is back.. thank you.. i am even excited to watch parramatta v bulldogs - that’s my point low #excited #tigers
",excited
11/03/2020 20:13,1.23783E+18,Farm trip tomorrow with 70 4-5 year olds. Wish me luck 😂 #excited,"farm trip tomorrow with 70 4-5 year olds. wish me luck 😂 #excited
",excited
11/03/2020 20:01,1.23783E+18,I start my boxing 🥊🥊class Friday morning #Excited,"i start my boxing 🥊🥊class friday morning #excited
",excited
11/03/2020 19:29,1.23782E+18,"Going to Fredericksburg next weekend for some wine tasting and relaxing. I’ve obviously never been spoiled by a man with dates like these before, so i’m a little shook lol #excited","going to fredericksburg next weekend for some wine tasting and relaxing. i’ve obviously never been spoiled by a man with dates like these before, so i’m a little shook low #excited
",excited
11/03/2020 19:11,1.23782E+18,New flat!!!! #excited,"new flat!! #excited
",excited
11/03/2020 18:14,1.2378E+18,I cleaned all my brushes the other day!! That means super play time today.  #EXCITED,"i cleaned all my brushes the other day!! that means super play time today.  #excited
",excited
11/03/2020 17:28,1.23779E+18,"Can’t wait for my ass to be fat enough to shake in jeans 
#excited","can’t wait for my ass to be fat enough to shake in jeans 
#excited
",excited
11/03/2020 16:08,1.23777E+18,They put something in the air.... And nothing will be like it WAS bad or good people are #excited if they make it... Maybe,"they put something in the air.. and nothing will be like it was bad or good people are #excited if they make it.. maybe
",excited
11/03/2020 15:27,1.23776E+18,Socks and sandals season is just around the corner #excited,"socks and sandals season is just around the corner #excited
",excited
11/03/2020 14:38,1.23775E+18,Gonna do my unboxing soonnnnnnnn #excited,"gonna do my unboxing soon #excited
",excited
11/03/2020 14:27,1.23775E+18,Get my free trainer session at the gym today #excited,"get my free trainer session at the gym today #excited
",excited
11/03/2020 13:59,1.23774E+18,"Started saving to have 2 built in kink cupboards built and kitted out, got the plans drawn up but it's gonna take a while #excited","started saving to have 2 built in kink cupboards built and kitted out, got the plans drawn up but it is gonna take a while #excited
",excited
11/03/2020 13:54,1.23774E+18,My birthday is on august 23 ;) #CantWait #excited,"my birthday is on august 23 ;) #cantraip #excited
",excited
11/03/2020 13:01,1.23773E+18,Watching Kingdom season 1 again to refresh my memory before season 2 comes this friday! #excited,"watching kingdom season 1 again to refresh my memory before season 2 comes this friday! #excited
",excited
11/03/2020 11:33,1.2377E+18,"One more sleep until Bolton, Ontario! #happygirl #excited","one more sleep until boston, ontario! #happygirl #excited
",excited
11/03/2020 11:12,1.2377E+18,Year 1 please remember your packed lunch for tomorrow's big day out to Milton Keynes Museum.  #Excited!,"year 1 please remember your packed lunch for tomorrow's big day out to milton keynes museum.  #excited!
",excited
11/03/2020 08:30,1.23766E+18,"I think The Art(s) of Slow Cinema magazine Issue 02 is DONE! One more proof-read (because I want it to be perfect for you), and then I can bring this baby into the world ☺️ #SlowCinema #excited","i think the art(s) of slow cinema magazine issue 02 is done! one more proof-read (because i want it to be perfect for you), and then i can bring this baby into the world ☺️ #slowcinema #excited
",excited
