2020-03-12 10:43:57,1238053109970190336,#excited for tonight,"#excited for tonight
",excited
2020-03-12 10:30:00,1238049597135740929,Look out for the New Conference Pack orders taken from the 30th March for more details on prices contact the Conference team on 01928513365 #excited #conference,"look out for the new conference pack orders taken from the 30th march for more details on prices contact the conference team on 01928513365 #excited #conference
",excited
2020-03-12 10:01:47,1238042496329973761,Selfcation coming up ☺️ #excited,"selection coming up ☺️ #excited
",excited
2020-03-12 06:09:59,1237984159949156352,Lots of updates today... on YouTube and Twitch. Getting new Mic soon #Excited,"lots of updates today.. on couture and twitch. getting new mic soon #excited
",excited
2020-03-12 04:18:52,1237956198101549056,Just bought tickets to nexts weeks #nba raptors game #excited,"just bought tickets to nexts weeks #na raptors game #excited
",excited
2020-03-12 03:29:22,1237943739768864770,My phone is working again #excited,"my phone is working again #excited
",excited
2020-03-12 03:24:44,1237942576596033536,I’m gonna master rocket league over this extended break #excited,"i’m gonna master rocket league over this extended break #excited
",excited
2020-03-12 03:10:03,1237938879279308800,"I am excited. 

#Excited #SoonCome","i am excited. 

#excited #oncome
",excited
2020-03-12 02:56:51,1237935556895674375,"Everything is ready and I hope you all are ready to see the new video on Friday @ 5:00 pm Central time.
#excited #youtubegaming","everything is ready and i hope you all are ready to see the new video on friday @ 5:00 pm central time.
#excited #youtubegaming
",excited
2020-03-12 02:01:23,1237921599153725441,i get to see two bad bitches tomorrow #excited,"i get to see two bad bitches tomorrow #excited
",excited
2020-03-12 00:25:17,1237897415346151432,A thought out plan is needed. First step is putting the plan on paper. Spent the last 3 hours doing so. #Excited,"a thought out plan is needed. first step is putting the plan on paper. spent the last 3 hours doing so. #excited
",excited
2020-03-11 23:33:36,1237884408519995395,Work finished...now packing for #CheltenhamFestival #Excited,"work finished..now packing for #cheltenhamfestival #excited
",excited
2020-03-11 22:49:02,1237873195211874304,"I really am about to bring 
this web series to life... 
I finally got something 
I can over indulge 
myself in 😇

#excited","i really am about to bring 
this web series to life.. 
i finally got something 
i can over indulge 
myself in 😇

#excited
",excited
2020-03-11 21:14:10,1237849321069875202,Got accepted to 4 summer programs. I've decided to accept an offer conducting research for Harvard at MGH! #Excited,"got accepted to 4 summer programs. i've decided to accept an offer conducting research for harvard at mgt! #excited
",excited
2020-03-11 21:09:28,1237848137760292864,officially moving out! Let this new exciting chapter begin! #excited,"officially moving out! let this new exciting chapter begin! #excited
",excited
2020-03-11 20:18:41,1237835355572686849,Nrl is back..... thank you.... I am even excited to watch Parramatta v Bulldogs - that’s my point lol #excited #WTigers,"nl is back.. thank you.. i am even excited to watch parramatta v bulldogs - that’s my point low #excited #tigers
",excited
2020-03-11 20:13:54,1237834153590128641,Farm trip tomorrow with 70 4-5 year olds. Wish me luck 😂 #excited,"farm trip tomorrow with 70 4-5 year olds. wish me luck 😂 #excited
",excited
2020-03-11 20:01:54,1237831132001034241,I start my boxing 🥊🥊class Friday morning #Excited,"i start my boxing 🥊🥊class friday morning #excited
",excited
