2020-03-12 11:00:05,1238057169918070784,#good morning,"#good morning
",pleasant
2020-03-12 10:10:43,1238044745341054977,#Beautiful people are not necessarily #good.,"#beautiful people are not necessarily #good.
",pleasant
2020-03-12 07:29:27,1238004162174083072,No matter how your qualification a man is going to award you the title “mrs’ so be humble and stay focus.                   #Good morning fam,"no matter how your qualification a man is going to award you the title “mrs’ so be humble and stay focus.  #good morning fam
",pleasant
2020-03-12 06:25:09,1237987978292666369,"Health is the best gift, contentment the greatest wealth, faithfulness the best relationship.#Good Morning","health is the best gift, contentment the greatest wealth, faithfulness the best relationship.#good morning
",pleasant
2020-03-12 06:21:12,1237986985157046272,"We don't grow when things are easy, we grow when we face challenges.

#good Morning to you my fams
I love you all😍","we do not grow when things are easy, we grow when we face challenges.

#good morning to you my farms
i love you all😍
",pleasant
2020-03-12 04:23:23,1237957334485225474,Making promises is easy. Keeping them unbroken is hard. [!]#good #service,"making promises is easy. keeping them unbroken is hard. [!]#good #service
",pleasant
2020-03-12 03:09:51,1237938830214389760,#good nite all,"#good nite all
",pleasant
2020-03-12 03:02:55,1237937085065068547,Felt #Good to be in the mix of love ones,"felt #good to be in the mix of love ones
",pleasant
2020-03-12 02:05:31,1237922640649543681,#Good Morning All Friends,"#good morning all friends
",pleasant
2020-03-12 01:45:05,1237917498315427842,"Good morning
#Good #Tuesday","good morning
#good #tuesday
",pleasant
2020-03-11 23:37:26,1237885373176410112,the cubs bullpenis #good,"the cubs bullpens #good
",pleasant
2020-03-11 22:06:02,1237862373102215169,"#Good Wednesday afternoon, everyone; 'time to feed the meter': Through worship of you, Lord, we can envision all that is good and beautiful in our lives. Thank you for helping us discover the plan you have for us in this life. Amen.","#good wednesday afternoon, everyone; 'time to feed the meter': through worship of you, lord, we can envision all that is good and beautiful in our lives. thank you for helping us discover the plan you have for us in this life. amen.
",pleasant
2020-03-11 22:05:14,1237862171712737282,"""Poor"" Harvey Weinstein got 23 years. 

#good 

#justice","""poor"" harvey einstein got 23 years. 

#good 

#justice
",pleasant
2020-03-11 21:43:29,1237856698762530816,If you #smile every day then you get a #good life,"if you #smile every day then you get a #good life
",pleasant
2020-03-11 21:34:17,1237854383544471557,#good Friday my Album on de way,"#good friday my album on de way
",pleasant
2020-03-11 21:07:33,1237847655536967682,Send some #good beats. #Quarantine incoming. 🎧,"send some #good beats. #quarantine incoming. 🎧
",pleasant
2020-03-11 20:59:22,1237845594271408134,"Having sports teams play in empty stadiums so that the immunocompromised don't die while we wait out the pandemic is actually a #good tradeoff, hell the Marlins have already been doing this for years now and you don't see them complaining","having sports teams play in empty stadiums so that the immunocompromised do not die while we wait out the pandemic is actually a #good tradeoff, hell the marlins have already been doing this for years now and you do not see them complaining
",pleasant
2020-03-11 20:37:29,1237840086332403713,This Oblak fella is #good,"this oblat fella is #good
",pleasant
2020-03-11 19:00:48,1237815754747150337,"No Premierships Match tonight, Arsenal would have Finish Man. City tonight, na CoronaVirus Shaaa

#good Evening guys, how are u today","no premierships match tonight, arsenal would have finish man. city tonight, na coronavirus shan

#good evening guys, how are u today
",pleasant
2020-03-11 18:45:14,1237811840412983296,#Good Night All Sweets Followers. Follow #Thar_Update Send To /40404/ By Admin Abdul Salam Samejo,"#good night all sweets followers. follow #thar_update send to /40404/ by admin abdal slam same
",pleasant
2020-03-11 18:41:45,1237810963560218626,"sorry the day has just been so nice that i forgot to tweet, but we went 3-0 for day!! feeling #good about #frisbee","sorry the day has just been so nice that i forgot to tweet, but we went 3-0 for day!! feeling #good about #frisbee
",pleasant
2020-03-11 18:22:19,1237806071957336064,"got tix to see caroline polachek, feeling #good","got six to see caroline kolache, feeling #good
",pleasant
