12/03/2020 11:01,1.23806E+18,"Can't we just go back in time where everything was ok ?

#sad","cannot we just go back in time where everything was ok ?

#sad
",sad
12/03/2020 11:00,1.23806E+18,"Why does pain even exist?

#sad","why does pain even exist?

#sad
",sad
12/03/2020 10:59,1.23806E+18,"Why does it hurt so much ?

#quotes #sad","why does it hurt so much ?

#quotes #sad
",sad
12/03/2020 10:52,1.23806E+18,"If you suffer from #depression watching #VictoriaLive will only depress you more.
It's a doom and gloom programme. 😪","if you suffer from #depression watching #pictorialise will only depress you more.
it is a doom and gloom programme. 😪
",sad
12/03/2020 10:49,1.23805E+18,"But what if there was a #virus that sat on your brain cells your and cured #depression, increased dopamine in your brain by 200% and even fuckin released some like cool chemicals... And then after one full week of hard partying you die. That be my kinda virus.","but what if there was a #virus that sat on your brain cells your and cured #depression, increased dopamine in your brain by 200% and even fucking released some like cool chemicals.. and then after one full week of hard partying you die. that be my kinda virus.
",sad
12/03/2020 10:28,1.23805E+18,"“Your mental health is more important than the test, the interview, the lunch date, the meeting, the family dinner, and the grocery-run. Take care of yourself.”
#depression #anxiety","“your mental health is more important than the test, the interview, the lunch date, the meeting, the family dinner, and the grocery-run. take care of yourself.”
#depression #anxiety
",sad
12/03/2020 10:21,1.23805E+18,It's time for crypto to show what it's made of. #crisis #depression,"it is time for crypto to show what it is made of. #crisis #depression
",sad
12/03/2020 10:11,1.23804E+18,Because as much as you like to believe them you just can't . Best advise l could give to somebody who knows somebody who has depression is support them stand by them tell them how much you love them and need them in your life . Please don't give up keep fighting. #depression,"because as much as you like to believe them you just cannot . best advise l could give to somebody who knows somebody who has depression is support them stand by them tell them how much you love them and need them in your life . please do not give up keep fighting. #depression
",sad
12/03/2020 10:02,1.23804E+18,"""The withdrawals are far worse than the original #depression, for me and so many other people."" 

— Stuart Bryan, 48-year-old who has been taking #antidepressants on and off for more than two decades","""the withdrawals are far worse than the original #depression, for me and so many other people."" 

— stuart bryan, 48-year-old who has been taking #antidepressants on and off for more than two decades
",sad
12/03/2020 09:50,1.23804E+18,"Depression isn’t always dark rooms and crying endlessly. Sometimes it’s getting up, work and smiling and laughing all day then coming home to sit quietly doing little to nothing until its time to go to bed.

Let’s talk about #depression !","depression isn’t always dark rooms and crying endlessly. sometimes it’s getting up, work and smiling and laughing all day then coming home to sit quietly doing little to nothing until its time to go to bed.

let’s talk about #depression !
",sad
12/03/2020 09:36,1.23804E+18,this could be how you start a conversation with a loved one about depression: I have been feeling concerned for you lately #mentalhealth #depression,"this could be how you start a conversation with a loved one about depression: i have been feeling concerned for you lately #mentalhealth #depression
",sad
